site_id, easting, northing, longitude, latitude
1730,1578147.462,5221928.1887,172.73122127358315,-43.155083178265095
1731,1538369.7903,5224732.4989,172.2423098355627,-43.12763776977096
1732,1524852.4052,5207209.8642,172.07376046398355,-43.28418336985777
1733,1534058.5804,5206112.1236,172.18708852461495,-43.29492963828871
1734,1547929.8454,5207330.2962,172.35819387335854,-43.2850485679349
1735,1560763.2664,5213456.4385,172.5168059642664,-43.230664715996575
1736,1542353.5832,5194680.8621,172.28813743252476,-43.39853597611962
1737,1549722.3958,5200887.1459,172.37969738632736,-43.34318495057079
1738,1571876.6123,5211864.4387,172.65358088555445,-43.24549614320655
1739,1564690.3605,5203117.0528,172.56450259729488,-43.32395864022647
1740,1565070.8246,5206055.9769,172.56938185571096,-43.29751332441649
1741,1566607.5395,5206895.232,172.5883774537198,-43.29002609270879
1742,1566049.0521,5205602.1056,172.58141340448262,-43.301644917265
1743,1567627.2975,5206078.5867,172.60089942992929,-43.29742404330825
1744,1565663.3893,5204716.1711,172.5766032718062,-43.30960469278934
1745,1567207.968,5205478.892,172.5956941542523,-43.30280577557628
1746,1566382.5341,5204462.0356,172.5854550957699,-43.31192550126037
1747,1567049.3389,5204576.9328,172.5936843102304,-43.31092042842718
1748,1572776.7192,5206625.4227,172.6644089824324,-43.292703957052346
1749,1563092.1889,5198343.3202,172.54447057370209,-43.366865822350405
1750,1568398.58,5204807.933,172.61033474922442,-43.30889830217785
1751,1567618.3724,5202480.8134,172.60057729044988,-43.32981936318003
1752,1560381.0116,5192966.8912,172.5106200504116,-43.41513779304046
1753,1572908.7214,5203398.999,172.66587710417207,-43.32176089663692
1754,1575388.4403,5204563.2492,172.6965117758908,-43.31136269631378
1755,1568376.8218,5194867.2522,172.60949294846856,-43.398406485473785
1756,1574886.7861,5199713.5467,172.69010393771364,-43.355014934427466
1757,1572269.1958,5197978.9351,172.6577157172833,-43.370541915335046
1758,1570613.2015,5197037.5805,172.63722546947128,-43.37895517240197
1759,1573131.4188,5198362.7438,172.66837687882713,-43.36711732028653
1760,1571184.2861,5196675.5043,172.6442562058933,-43.382237565625275
1761,1572013.6347,5196200.5887,172.654470439233,-43.38654524669684
1762,1571382.7068,5195612.1633,172.6466501466112,-43.39181980838094
1763,1572435.1655,5194942.1283,172.65961130364596,-43.39789242168154
1764,1559944.1467,5187550.8007,172.50482647807866,-43.46388137566493
1765,1556548.5154,5180479.1268,172.46228647618403,-43.52736462117843
