WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (174.1621417592602 -39.05356228077286),218800,Paraite,Paraite,13.7212480488,13.7212480488,-39.05356228111313,174.16214175894854,1700557.414672548,5676636.946862588,1700557.4147,5676636.9469
POINT (174.2439049724954 -38.995326716628846),218900,Waitara East,Waitara East,2.27335982538,2.27335982538,-38.99532671621901,174.2439049723368,1707720.7786868855,5683006.147745674,1707720.7787,5683006.1477
POINT (174.2142163478908 -39.0369024455898),219000,Lepperton-Brixton,Lepperton-Brixton,46.5361182446,46.5361182446,-39.03690244514142,174.21421634833055,1705088.130238725,5678426.924949257,1705088.1302,5678426.9249
POINT (174.0601834815917 -39.18102075575876),219100,Mangorei,Mangorei,188.56206555,188.56206555,-39.18102075569246,174.06018348146188,1691569.8329888724,5662599.771107497,1691569.833,5662599.7711
POINT (174.6243404947919 -38.9232115710134),219200,Mount Messenger,Mount Messenger,1186.29261903,1186.29261903,-38.92321157102181,174.62434049500652,1740810.4113185864,5690490.428398701,1740810.4113,5690490.4284
POINT (174.16389116541345 -39.13469665755782),219300,Mangaoraka,Mangaoraka,81.6618023269,81.6618023269,-39.13469665798543,174.16389116508455,1700593.434670965,5667630.911252914,1700593.4347,5667630.9113
POINT (174.343131846755 -39.04099577039605),219400,Tikorangi,Tikorangi,167.694875259,167.694875259,-39.04099577039555,174.3431318464891,1716239.2210769868,5677815.797500396,1716239.2211,5677815.7975
POINT (174.20603428048975 -39.19312695648846),219500,Everett Park,Everett Park,236.516691708,236.516691708,-39.19312695654339,174.20603428034835,1704149.6969877058,5661098.80919407,1704149.697,5661098.8092
POINT (174.20152056395457 -39.1565374987128),219600,Inglewood,Inglewood,2.94435877897,2.94435877897,-39.15653749828167,174.201520564258,1703813.6926268542,5665164.661347504,1703813.6926,5665164.6613
POINT (174.39053066599416 -39.16049368197466),219700,Tarata,Tarata,258.967491126,258.967491126,-39.16049368164583,174.3905306655713,1720138.4118640232,5664492.2961370535,1720138.4119,5664492.2961
POINT (174.18537055843493 -39.34019602448737),219800,Pembroke,Pembroke,226.387973187,226.387973187,-39.34019602456248,174.1853705587434,1702151.4277264706,5644800.482591321,1702151.4277,5644800.4826
POINT (174.629724869434 -39.2407183746985),219900,Douglas,Douglas,1010.46120559,1010.46120559,-39.24071837482662,174.6297248695786,1740645.145912225,5655244.573885524,1740645.1459,5655244.5739
POINT (174.28263099104728 -39.330144773570105),220100,Stratford North,Stratford North,3.28524596045,3.28524596045,-39.33014477324965,174.2826309912036,1710549.118313976,5645801.544835376,1710549.1183,5645801.5448
POINT (174.84882834724314 -39.11104502296274),220200,Whangamomona,Whangamomona,689.600910428,689.600910428,-39.11104502291025,174.84882834674724,1759848.474057236,5669273.29720659,1759848.4741,5669273.2972
POINT (174.28910645632152 -39.33759639906421),220300,Stratford Central,Stratford Central,2.53265568195,2.53265568195,-39.33759639926063,174.28910645588763,1711095.4572622962,5644966.600578735,1711095.4573,5644966.6006
POINT (174.28479276063266 -39.34771050898406),220400,Stratford South,Stratford South,2.71991262141,2.71991262141,-39.347710508890565,174.28479276076692,1710707.729911716,5643849.398910214,1710707.7299,5643849.3989
POINT (173.87160899205918 -39.31364656282963),220500,Cape Egmont,Cape Egmont,434.18190186,434.18190186,-39.31364656284271,173.87160899260417,1675140.383246969,5648054.6618981045,1675140.3832,5648054.6619
POINT (173.99262032738255 -39.45078430716798),220600,Taungatara,Taungatara,313.025738749,313.025738749,-39.45078430734821,173.99262032684103,1685405.5071531862,5632727.349180519,1685405.5072,5632727.3492
